Algorithm,N,Time_ns,Comparisons,MaxDepth,Allocations
MergeSort,100,154000,579,5,1
QuickSort,100,171200,656,4,0
Select(MoM),100,76100,312,4,0
ClosestPair,100,837800,757,7,0
MergeSort,500,293700,4036,8,1
QuickSort,500,609300,5309,5,0
Select(MoM),500,306900,3159,9,0
ClosestPair,500,1913700,5697,9,0
MergeSort,1000,288700,9040,9,1
QuickSort,1000,289300,11264,6,0
Select(MoM),1000,355800,7422,11,0
ClosestPair,1000,2988100,12702,10,0
MergeSort,5000,1057900,56728,11,1
QuickSort,5000,1222100,68121,8,0
Select(MoM),5000,1136400,39228,13,0
ClosestPair,5000,10950500,77094,12,0
MergeSort,10000,2666700,123501,12,1
QuickSort,10000,6411400,164129,8,0
Select(MoM),10000,4001700,79920,13,0
ClosestPair,10000,23008700,167411,13,0
MergeSort,50000,19737700,737307,14,1
QuickSort,50000,25604300,910813,10,0
Select(MoM),50000,4990600,406020,16,0
ClosestPair,50000,141110900,977756,16,0
MergeSort,100000,8983800,1574757,15,1
QuickSort,100000,13399100,2009616,11,0
Select(MoM),100000,3430400,810263,16,0
ClosestPair,100000,231427800,2088439,17,0
MergeSort,500000,43083700,9014465,18,1
QuickSort,500000,52387600,11890025,13,0
Select(MoM),500000,13221300,4103371,20,0
MergeSort,1000000,89156500,19029488,19,1
QuickSort,1000000,92921900,24822753,13,0
Select(MoM),1000000,24693000,8262662,21,0
